V (Volts) 	 I (mAmps)
0.08791088769	0.03326521378
0.08760242843	0.03326521378
0.1551550053	0.04435361837
0.2341205746	0.06653042756
0.3115438476	0.05544202296
0.3905094169	0.06653042756
0.4651565566	0.05544202296
0.5441221259	0.05544202296
0.6227792359	0.06653042756
0.6986602127	0.06653042756
0.7782427005	0.07761883215
0.8522729217	0.07761883215
0.9343230835	0.07761883215
1.027477779	0.07761883215
1.106443348	0.07761883215
1.178931273	0.08870723674
1.256663005	0.08870723674
1.330384767	0.08870723674
1.408116499	0.09979564134
1.485848232	0.09979564134
1.562037668	0.1108840459
1.641928615	0.1108840459
1.717809591	0.1219724505
1.79276519	0.1108840459
1.871113841	0.1219724505
1.95007941	0.1219724505
2.026885765	0.1330608551
2.104309038	0.1330608551
2.183891526	0.1330608551
2.260080962	0.1330608551
2.338429612	0.1441492597
2.433743522	0.1441492597
2.515793684	0.1552376643
2.592291579	0.1663260689
2.67064023	0.1774144735
2.747446585	0.1774144735
2.824561398	0.2106796873
2.887795546	0.2772101148
2.932213678	0.4657129929
2.961208848	0.7318347031
2.981567159	1.020133223
2.999457796	1.35278536
3.013030003	1.674349094
3.023209159	2.007001231
3.037089825	2.339653369
3.04757744	2.694482316
3.058373514	3.038222858
3.065468077	3.393051805
3.075955691	3.836587989
3.085517928	4.169240127
3.09292095	4.546245883
